"TurnoutProp","UNMProp","Urban","Georgian","Orthodox","HiEd","WHC","District","Elections"
0.540110692755591,0.292750752352291,0.850403653265922,0.944446709614287,0.924427138546848,0.555630026809651,0.644247469605318,1,"Presidential 08"
0.777678059957991,0.324821371571685,0.850403653265922,0.944446709614287,0.924427138546848,0.555630026809651,0.644247469605318,1,"Parliamentary 12"
0.571191541904615,0.205093562115787,0.850403653265922,0.944446709614287,0.924427138546848,0.555630026809651,0.644247469605318,1,"Presidential 13"
0.574618074029034,0.23005191627261,0.850403653265922,0.944446709614287,0.924427138546848,0.555630026809651,0.644247469605318,1,"Parliamentary 16"
0.568508334399113,0.44396535562971,0.850403653265922,0.944446709614287,0.924427138546848,0.555630026809651,0.644247469605318,1,"Parliamentary 08"
0.58600635350588,0.184705582462401,0.994110971108907,0.969607606587848,0.924425618616123,0.642343163044925,0.723801463633196,2,"Parliamentary 16"
0.58204860471306,0.284427872946639,0.994110971108907,0.969607606587848,0.924425618616123,0.642343163044925,0.723801463633196,2,"Presidential 08"
0.543546249119755,0.331205822394117,0.994110971108907,0.969607606587848,0.924425618616123,0.642343163044925,0.723801463633196,2,"Parliamentary 08"
0.731932688432084,0.230295854729683,0.994110971108907,0.969607606587848,0.924425618616123,0.642343163044925,0.723801463633196,2,"Parliamentary 12"
0.565528479062431,0.188652063093347,0.994110971108907,0.969607606587848,0.924425618616123,0.642343163044925,0.723801463633196,2,"Presidential 13"
0.559922746442789,0.182024243618804,0.943383420100655,0.954467012773209,0.924429393543356,0.588156079070309,0.66592039800995,3,"Parliamentary 16"
0.533356514426187,0.177448944008976,0.943383420100655,0.954467012773209,0.924429393543356,0.588156079070309,0.66592039800995,3,"Presidential 13"
0.552770775475326,0.270668439277764,0.943383420100655,0.954467012773209,0.924429393543356,0.588156079070309,0.66592039800995,3,"Presidential 08"
0.717134077560387,0.244500130174434,0.943383420100655,0.954467012773209,0.924429393543356,0.588156079070309,0.66592039800995,3,"Parliamentary 12"
0.521155307828731,0.371009560849133,0.943383420100655,0.954467012773209,0.924429393543356,0.588156079070309,0.66592039800995,3,"Parliamentary 08"
0.529863614986675,0.512869822485207,0.886677187802271,0.757776307081403,0.924426004174515,0.338562286054472,0.396592048112262,4,"Presidential 08"
0.581241097812453,0.36542189385904,0.886677187802271,0.757776307081403,0.924426004174515,0.338562286054472,0.396592048112262,4,"Parliamentary 12"
0.527873286572228,0.528768075035824,0.886677187802271,0.757776307081403,0.924426004174515,0.338562286054472,0.396592048112262,4,"Parliamentary 08"
0.426071662119196,0.224874305371791,0.886677187802271,0.757776307081403,0.924426004174515,0.338562286054472,0.396592048112262,4,"Presidential 13"
0.467992940798973,0.263284196091875,0.886677187802271,0.757776307081403,0.924426004174515,0.338562286054472,0.396592048112262,4,"Parliamentary 16"
0.462679131112198,0.337392564167825,1,0.812897062335801,0.924432768091712,0.356081106127442,0.428884647131655,5,"Presidential 08"
0.438036461658509,0.254412955465587,1,0.812897062335801,0.924432768091712,0.356081106127442,0.428884647131655,5,"Parliamentary 16"
0.553113646395708,0.303534431160699,1,0.812897062335801,0.924432768091712,0.356081106127442,0.428884647131655,5,"Parliamentary 12"
0.425409477255317,0.455570561879649,1,0.812897062335801,0.924432768091712,0.356081106127442,0.428884647131655,5,"Parliamentary 08"
0.424521308333484,0.223242046083734,1,0.812897062335801,0.924432768091712,0.356081106127442,0.428884647131655,5,"Presidential 13"
0.461280896140265,0.379907028580646,0.963715391016846,0.867608690762691,0.924428150513934,0.323310259105725,0.376033423619594,6,"Presidential 08"
0.436934852137632,0.250031619553532,0.963715391016846,0.867608690762691,0.924428150513934,0.323310259105725,0.376033423619594,6,"Parliamentary 16"
0.413798089834255,0.449869369144493,0.963715391016846,0.867608690762691,0.924428150513934,0.323310259105725,0.376033423619594,6,"Parliamentary 08"
0.574993047516185,0.298033878478393,0.963715391016846,0.867608690762691,0.924428150513934,0.323310259105725,0.376033423619594,6,"Parliamentary 12"
0.446127019745446,0.201178977045189,0.963715391016846,0.867608690762691,0.924428150513934,0.323310259105725,0.376033423619594,6,"Presidential 13"
0.483717913708356,0.206231035212758,1,0.917675915989575,0.924436608922275,0.464941947630836,0.531313918379273,7,"Presidential 13"
0.489019837493595,0.390913853753462,1,0.917675915989575,0.924436608922275,0.464941947630836,0.531313918379273,7,"Parliamentary 08"
0.638087302532012,0.263351455068756,1,0.917675915989575,0.924436608922275,0.464941947630836,0.531313918379273,7,"Parliamentary 12"
0.492055936710107,0.207878848527302,1,0.917675915989575,0.924436608922275,0.464941947630836,0.531313918379273,7,"Parliamentary 16"
0.507691491618926,0.297948664368056,1,0.917675915989575,0.924436608922275,0.464941947630836,0.531313918379273,7,"Presidential 08"
0.700407457021657,0.244690600470176,1,0.960652974949299,0.924433717044189,0.560386552423311,0.633971391634347,8,"Parliamentary 12"
0.53940086961432,0.362898793477976,1,0.960652974949299,0.924433717044189,0.560386552423311,0.633971391634347,8,"Parliamentary 08"
0.57695878963323,0.315433223676425,1,0.960652974949299,0.924433717044189,0.560386552423311,0.633971391634347,8,"Presidential 08"
0.545241031061006,0.190528752961447,1,0.960652974949299,0.924433717044189,0.560386552423311,0.633971391634347,8,"Presidential 13"
0.541188889049554,0.191599647313437,1,0.960652974949299,0.924433717044189,0.560386552423311,0.633971391634347,8,"Parliamentary 16"
0.507582345492547,0.295126313100194,1,0.951261464168187,0.924428982196058,0.396137078196403,0.468449945514732,9,"Presidential 08"
